Date,MA,Upper_Band,Lower_Band
2021-09-23,378.7299987793,418.7680956068645,338.6919019517355
2021-09-24,379.3549987793,418.13825946301927,340.5717380955807
2021-09-27,379.349998474125,418.1410226466992,340.55897430155085
2021-09-28,377.114997863775,420.1350106659905,334.0949850615595
2021-09-29,374.274998474125,421.8601336923471,326.68986325590294
2021-09-30,370.78999938965,420.18550078689407,321.39449799240595
2021-10-01,367.79499969482504,418.4116823067063,317.17831708294375
2021-10-04,363.13999938965,418.53327022876573,307.7467285505342
2021-10-05,358.65999908447503,410.6452804897036,306.67471767924644
2021-10-06,355.29499816895,404.45846466215113,306.1315316757488
2021-10-07,353.23999938965005,398.6557628911424,307.8242358881577
2021-10-08,351.8799987793,394.69448994985646,309.0655076087436
2021-10-11,350.6049987793,391.5075810075077,309.70241655109226
2021-10-12,349.364997863775,388.929006611967,309.800989115583
2021-10-13,348.3349975586,385.48506595803235,311.1849291591676
2021-10-14,348.00499725342496,384.1068694984708,311.9031250083791
2021-10-15,348.294996643075,385.3565070101901,311.23348627595993
2021-10-18,351.47499694825,395.3871972951332,307.5627966013668
2021-10-19,355.33499755860004,409.06603252562127,301.6039625915788
2021-10-20,358.349998474125,418.88207793016284,297.8179190180872
2021-10-21,361.44499816895,429.94601337206024,292.9439829658398
2021-10-22,363.79499816895,436.1429415368574,291.44705480104255
2021-10-25,367.199998474125,445.9165718300495,288.48342511820044
2021-10-26,371.76499786377497,453.751009841995,289.7789858855549
2021-10-27,376.26499786377497,458.47833350242917,294.05166222512077
2021-10-28,381.489997863775,465.04969621133915,297.9302995162108
2021-10-29,386.71999816895,470.98693646811375,302.4530598697862
2021-11-01,394.5799987793,476.4364038336037,312.7235937249963
2021-11-02,400.63999938965,478.9241403509368,322.35585842836315
2021-11-03,407.41499938965,484.64347513065854,330.18652364864147
2021-11-04,414.06999816894995,494.84795802953505,333.29203830836485
2021-11-05,419.899998474125,500.7736275158691,339.02636943238093
2021-11-08,426.1049987793,504.5008262656428,347.7091712929572
2021-11-09,431.41499938965,501.4478156241613,361.3821831551387
2021-11-10,435.475,496.9422512832153,374.00774871678476
2021-11-11,439.5449996948249,493.8131273598293,385.27687202982054
2021-11-12,443.940000915525,491.6801055370941,396.1998962939559
2021-11-15,447.025001525875,491.3119072770017,402.7380957747483
2021-11-16,449.6450012207,493.7734480520538,405.5165543893462
2021-11-17,451.83000030517496,493.53887030401893,410.121130306331
2021-11-18,453.29000091552496,493.85417267403744,412.72582915701247
2021-11-19,456.20500030517496,492.9267940842336,419.4832065261163
2021-11-22,457.01999969482506,492.2769841681721,421.76301522147804
2021-11-23,457.40500030517495,491.51395217404973,423.29604843630017
2021-11-24,458.880000305175,488.42422343116726,429.3357771791827
2021-11-26,458.3300003051751,489.9860467342617,426.67395387608843
2021-11-29,458.625,489.62977312477074,427.62022687522926
2021-11-30,456.75499877929997,490.9456973970296,422.5643001615703
2021-12-01,453.9299987793,499.0910456971702,408.76895186142974
2021-12-02,450.069999694825,502.46164099328837,397.67835839636166
2021-12-03,443.2650009155251,508.96165886877407,377.5683429622761
2021-12-06,438.20500030517496,508.8203499445208,367.58965066582914
2021-12-07,434.8,503.99044195306345,365.60955804693657
2021-12-08,432.975,501.9471439245098,364.00285607549023
2021-12-09,430.65,501.57621215513177,359.7237878448682
2021-12-10,427.83500061035,499.342470091078,356.327531129622
2021-12-13,422.76000061035,496.7198781481523,348.8001230725477
2021-12-14,417.73000030517494,493.5129800807998,341.94702052955006
2021-12-15,413.16500091552496,485.6281298867919,340.701871944258
2021-12-16,407.44000091552505,481.95403991986143,332.92596191118866
2021-12-17,401.73500061035,476.93494873199785,326.5350524887022
